policy,seed,steps,households,gini_assets,gini_income,poverty_rate,means_tested_poverty_rate,unemployment_rate,labor_participation,avg_wage,treasury,avg_deficit_last20,tax_revenue,ubi_spending,targeted_spending,false_positive_spending,false_negative_amount
Targeted only,27,80,242.0,0.5070411625426825,0.4040452733661142,0.2396694214876033,0.2603305785123967,0.12742382271468145,0.8698795180722891,1998.189658950354,10813874.257430611,-159779.59236290026,188765.59236290026,0.0,25986.0,640.5,1512.0
Targeted only,28,80,242.0,0.5540081535314156,0.4967242981524267,0.4297520661157025,0.44214876033057854,0.2878338278931751,0.8753246753246753,1586.7045951298476,9243741.643331628,-128315.00957886875,158209.3559282077,0.0,27492.0,603.0,1399.5
Targeted only,29,80,240.0,0.5654376249669983,0.4309813366774058,0.30833333333333335,0.35833333333333334,0.2028169014084507,0.8679706601466992,1674.160351161641,7493633.812408505,-86822.69982800736,127313.19982800735,0.0,34990.5,228.0,1671.0
Targeted only,30,80,242.0,0.5818849961279084,0.48266797836323305,0.36363636363636365,0.4049586776859504,0.20625,0.8290155440414507,1799.2360195895192,9127673.327695781,-111210.84153145264,147520.84153145266,0.0,30810.0,454.5,1414.5
Targeted only,31,80,238.0,0.534352438115204,0.45725911366782945,0.3277310924369748,0.3025210084033613,0.25895316804407714,0.8940886699507389,1877.630839647462,9239109.628821824,-120398.64107685364,154356.83997094096,0.0,29118.0,396.0,1561.5
Targeted only,32,80,242.0,0.5281512802940991,0.4538781830824272,0.32231404958677684,0.33884297520661155,0.23466666666666666,0.8928571428571429,1956.3899428853997,10875799.29054531,-151689.89722106344,179564.39722106344,0.0,26374.5,553.5,1305.0
Targeted only,33,80,240.0,0.5402729429410231,0.4195933518407493,0.2833333333333333,0.30833333333333335,0.1388101983002833,0.8694581280788177,1673.2890757199414,8513728.561178606,-115454.86683532476,146941.8668353248,0.0,29487.0,328.5,1458.0
Targeted only,34,80,226.0,0.5074548134178098,0.44994099346412586,0.3141592920353982,0.3230088495575221,0.14461538461538462,0.8643617021276596,1927.974283218277,9018920.377669299,-130101.78532519704,158724.28532519704,0.0,23122.5,474.0,1113.0
Targeted only,35,80,234.0,0.5563569074682853,0.5013528313787539,0.41025641025641024,0.44017094017094016,0.2616822429906542,0.8359375,1743.2162742288172,8352894.059972557,-121078.11977635839,153675.1197763584,0.0,27597.0,444.0,1456.5
Targeted only,36,80,242.0,0.5583243118316601,0.44293942064538516,0.32231404958677684,0.35537190082644626,0.19756838905775076,0.8545454545454545,1705.9673683610624,7648774.283251386,-118423.01278575059,150677.5127857506,0.0,29254.5,367.5,1819.5
Targeted only,37,80,230.0,0.5173829453443852,0.4458242658666074,0.3695652173913043,0.3826086956521739,0.3185840707964602,0.849624060150376,1543.3634015951045,8235715.730178318,-105796.4987624113,140673.9987624113,0.0,29377.5,330.0,1728.0
Targeted only,38,80,240.0,0.4985112575964059,0.45813672684013684,0.38333333333333336,0.38333333333333336,0.3380281690140845,0.8595641646489104,1483.9077838958028,8792511.731072417,-114226.36149697241,150073.86149697241,0.0,29347.5,490.5,1548.0
