income_tax_rate,corporate_tax_rate,ubi_amount,tier_scale,final_treasury,avg_deficit_last20,gini_assets,means_tested_poverty_rate,unemployment_rate,tax_revenue,ubi_spending,targeted_spending,score
0.16,0.2,40.0,0.45,-1769922.3131937822,55016.94235925508,0.8148405843411045,0.8496377116808348,0.6371038485497668,75166.82430741157,30878.666666666668,99305.09999999999,1.9337896660907659
0.2,0.24,100.0,0.35,-1856750.207656217,58011.8114624777,0.8051545816422365,0.825468412557278,0.565176765031139,94359.62187085563,76468.33333333333,75903.09999999999,1.9441116371451055
0.16,0.24,60.0,0.45,-1936065.6611360575,54667.785112377605,0.797151827618654,0.8485011945030889,0.6223040741095366,86160.3148876224,45096.0,95732.09999999999,1.9880358668740716
0.28,0.28,80.0,0.55,-1758973.888943657,60937.09012165685,0.8237499905625972,0.8467022026878013,0.6171560132035844,120901.20987834316,61044.0,120794.29999999999,2.0296281388075483
0.24,0.2,100.0,0.35,-1836100.9058149587,56264.57474413605,0.8273523613658442,0.8478969731492206,0.6191420597514815,97003.25858919728,76628.33333333333,76639.5,2.0840337676459626
0.28,0.24,100.0,0.45,-1844176.0602994503,57433.98178220645,0.8269928925974748,0.8469893742621015,0.5779725115200827,111492.61821779357,74090.0,94836.59999999999,2.099830982126703
0.24,0.2,40.0,0.55,-1787516.262664522,59564.04884714672,0.8293963058412702,0.8568793028453151,0.6543472000486891,95451.3511528533,31228.0,123787.40000000001,2.1051929918434116
0.28,0.2,80.0,0.45,-1799173.9033574676,57849.621856048085,0.8494730947986987,0.8475232207501987,0.6171560132035844,102242.0781439519,61044.0,99047.7,2.194934132106674
0.2,0.2,60.0,0.45,-2009035.7780094098,55368.294846775556,0.8173874854839923,0.8562261497099076,0.6477539299074693,89771.40515322443,46452.0,98687.7,2.2048749386970714
0.24,0.24,60.0,0.55,-2012245.7895326677,64308.25237264178,0.8171267561842971,0.877977766811011,0.6612463111175159,103213.94762735824,46025.0,121497.2,2.3562928505593
0.16,0.28,80.0,0.45,-2358088.846662124,64670.402026159536,0.7882081661115669,0.806773473645196,0.5801701663032971,93698.79797384045,61000.0,97369.2,2.3814304328672478
0.16,0.2,80.0,0.35,-2308664.63180234,57762.511572406096,0.8100466990871732,0.8266196733308663,0.5738139005602241,77541.92176092723,60353.333333333336,74951.09999999999,2.425188288607309
0.24,0.28,80.0,0.55,-2285592.941519369,68329.66038578907,0.7986377608921238,0.8310774559534297,0.5940025558710614,110596.20628087758,60398.666666666664,118527.2,2.4482500225329984
0.16,0.24,40.0,0.55,-2365135.651209289,64781.865502638015,0.7913145795875396,0.8425735466056764,0.6258580694545162,85203.40116402866,30540.666666666668,119444.59999999999,2.4713678768683964
0.2,0.24,80.0,0.45,-2304935.009534569,66192.01349565806,0.8014098424291557,0.841423456833704,0.6301018459519798,93337.2198376753,61293.333333333336,98235.90000000001,2.483540112629628
0.16,0.24,100.0,0.35,-2454303.230416413,61498.971368277475,0.7949240390314539,0.8181957914634873,0.5920388871840871,89450.19529838918,76171.66666666667,74777.5,2.500607761111022
0.24,0.2,80.0,0.45,-2228831.604261558,64167.48449604004,0.8223168534511647,0.8578498381352343,0.6198423398635263,95045.74883729329,60941.333333333336,98271.90000000001,2.5454862460955514
0.2,0.28,100.0,0.45,-2489450.772623337,70556.59630647994,0.779912045949232,0.8258564574178617,0.5661369672077678,103230.50369352005,76660.0,97127.09999999999,2.5515809261153883
0.28,0.2,60.0,0.55,-2183350.46421373,63879.455607898904,0.8383109387891704,0.8406591533279202,0.6095938400794516,104352.84439210109,46228.0,122004.3,2.558707959579718
0.24,0.24,100.0,0.45,-2476068.777686097,67624.13996066648,0.8012460531465809,0.8212072635814294,0.5845334023559969,106543.36003933352,76585.0,97582.5,2.6275800232312427
0.2,0.24,60.0,0.55,-2551936.460572403,67457.80367920926,0.787728638952968,0.8409410169728057,0.6136818215319554,96755.49632079077,45828.0,118385.3,2.6601473649240512
0.2,0.2,40.0,0.55,-2465745.865096218,67349.67502869993,0.8069859054245478,0.8330873033587592,0.6061758227650208,87139.99163796673,31388.666666666668,123101.0,2.672711654544159
